90049,121671
90620,84942
91202,66657
91740,76825
91917,78929
92225,39288
92230,34615
92256,49563
92257,17694
92315,50047
92320,49619
92333,72109
92551,54955
92620,102815
92624,100132
93304,36388
93543,41626
93612,40687
93637,49937
94044,106959
94519,79390
94525,79886
94706,89425
94937,66500
94954,86953
95006,80991
95070,173739
95345,35000
95365,40309
95401,62244
95407,56192
95425,64199
95430,0
95460,51018
95467,63079
95521,34352
95624,89075
95682,81835
95722,80380
96142,81000
96703,62500
96738,73952
97050,36250
97065,41371
97136,40308
97137,85227
97426,58143
97522,37000
97540,40210
97603,46125
97731,29032
98036,72573
98056,78525
98310,53029
98312,60315
98360,81921
98406,71934
98506,64566
98537,58571
98548,37476
98590,41042
98606,92557
98619,41250
98660,48032
98662,58713
98821,0
98847,43589
99179,83750
99674,48382
90031,41126
90071,0
90241,64222
91980,0
92055,0
92060,0
92135,0
92258,0
92341,0
93452,0
93541,0
93928,0
94060,0
94128,0
94573,0
94922,0
94972,0
95033,147619
95140,0
95234,0
95305,0
95364,0
95471,0
95494,0
95537,0
95601,0
95728,0
95962,0
96126,0
96155,0
96759,0
96826,47926
96853,0
96857,0
96859,0
96860,0
97011,0
97204,0
97331,0
97486,0
98101,68750
98201,47796
98238,0
98283,0
98330,0
98364,0
98421,0
98438,0
98444,41278
98535,0
98555,0
98614,0
98616,0
99510,0
99605,0
